date,title,job,place
1996-1997,Computer Curriculum Corporation (now Pearson Education),"Educational Technology Consultant, Public School District 32, Brooklyn","New York, NY"
Fall 1996,Alternative Education Center,ESL Teacher (grades 9-12),"Guatemala City, Guatemala"
1993-1996,Teach For America,"Corps Member, Curriculum Consultant and Instructor for Summer Institute"," Los Angeles, Houston, Arkansas"
1993-1995,Grady Public Schools,"Bilingual/ESL Teacher (P-12), District Migrant Education Coordinator","Grady, Arkansas"
